Ano_Fase;Fase Estat;Chamada Divulgação;Instituição_Beneficiária;UF_Instituição_Benef;Grande Área;Área;Qtd_Propostas;Total_Geral
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências da Saúde;Medicina;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências da Saúde;Saúde Coletiva;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Exatas e da Terra;Ciência da Computação;1;3.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Humanas;Antropologia;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Humanas;Educação;1;2.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Humanas;Geografia;1;2.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Humanas;Sociologia;1;3.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Sociais Aplicadas;Desenho Industrial;1;2.530
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Engenharias;Engenharia Elétrica;1;4.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Engenharias;Engenharia Mecânica;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Engenharias;Engenharia Química;1;6.311
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Estado do Rio de Janeiro;RJ;Engenharias;Engenharia Sanitária;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Paraiba;SP;Ciências da Saúde;Farmácia;1;2.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Paraiba;SP;Ciências Exatas e da Terra;Física;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Rio dos Sinos;RS;Ciências Exatas e da Terra;Ciência da Computação;2;8.900
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Rio dos Sinos;RS;Ciências Exatas e da Terra;Física;1;2.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Rio dos Sinos;RS;Ciências Humanas;Sociologia;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade do Vale do Rio dos Sinos;RS;Ciências Sociais Aplicadas;Administração;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Agrárias;Ciência e Tecnologia de Alimentos;3;12.900
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Agrárias;Engenharia Agrícola;2;5.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Biológicas;Morfologia;1;4.160
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências da Saúde;Saúde Coletiva;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Exatas e da Terra;Ciência da Computação;1;2.850
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Exatas e da Terra;Física;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Estadual de Campinas;SP;Ciências Humanas;Ciência Política;1;2.800
